track_id,track_name,duration_ms,popularity,album_id,is_collab
6KfugJFINWqA42k59hmjFr,TABOLA BALE,274381,85,56paKQ8XwNS0fSkWaMiJMm,True
1GKzQXM2MOjIeHZHHBrZ2V,Berikan Yang Terbaik,263648,39,17ogIXTTf66hZH9vwQyvwE,False
53TueWwUvYKwATSfxyHS32,Berikan Yang Terbaik,211384,31,2CpzRsdtSHpkrQ76WgzaZ5,False
4ANcqjCVvYH0wGGFewvSvt,Lagu Orang Dewasa,169756,35,5YwzYvSVuWEUsl9LT5VEUG,False
5MRdQwlU8ArU5Tl6tIr5Nv,Mengapa,242217,33,0uHVsjIOPkXKP5aAGmaira,False
50ea8718rLjdtiljsz0esV,NISCAYA NIRKALA,327739,17,6BcoQfsbDqEHspduyCkacx,False
6JkEgDxW2YsGq5OCb5Ueom,Bubblegum,212964,29,7nwR8cZXFACiyyfy3vxEYo,False
17NcDRRoOOPJdfw91vfD9q,Waktu Yang Berbeda,206000,40,3SfzTWuMHotUJWwVtHcMvE,False
5p8HCGUnuTo7PalnJv20Xc,Ocean of Time,228078,1,3sELUzVXhGl4v2ibMbzYJ2,True
7L2wjlOxOhtLQcrVJvsR0x,Cinta Tak Bertemu,255600,27,59nb0p7q6mCKMPTxzPbvHV,False
7xDROU78DftUhEL5Bylfml,Samar,266516,7,4nRBrB1QnKdrP8YAcAcwzy,True
63iIkfULWLYLtg7QendSTZ,Baik Saja,250000,18,49S1Wi46KfkUTotd2q3y22,False
2YboaOouyJsIgtKnjTGxjz,Kembara Laut,234919,1,4WsGo8wAtFE34qOcVpDiHK,True
6PrVvWP4SDaKOMweP5PKMt,Kiss Me Through the Phone,188993,34,3HhUAxZKzNOjTyTxc5zvzk,False
0LWu5Q2l1HcGPE4bCIiWmP,Pengelana Cita,307000,12,5PpRnlcgVCPvYw2IHBfBuL,False
6S6zDjKfzPBNtlDdN9VWwM,Sambut Tanganku,253900,2,21XVpTY446abEdiMtyTA1F,True
5c0DOWwz7MkYfI2Thi6fzm,Sampai Kapan,208279,1,09jEiB9l4n6OMiZ29VPJ1k,True
7KmuYmySYyCGXOa7iBgt6t,Don't Say I Never Loved You (DSINLY),196875,29,1NwzftYAtUn6yMuJqJ6SYK,False
3gcIi9rfi7nnHt8DDjIAyP,Stay - If Without You,330215,10,6RcHoPLbYB0bqcxin5KaCx,False
3wFgKvFBZdTdjkOkX80XZ7,Daripada Menyiksa Diri,226112,24,17ogIXTTf66hZH9vwQyvwE,False
1grtFwcwAOZZ2kWL08BWM7,AKU YANG MEMILIHMU,201868,4,5uR59njXlLIZlldDRszXho,False
2W21N0XDP0Rh6KNxomrPQN,Kembalikan Terang,247327,31,1EwANbtgPYKvy8uoGUsECM,False
3w6CAoWzx921MrdREA3iMj,Tak Lagi Sendiri,180000,2,7vFoeecNFoGabBqzQJjA5h,False
0wIgSteu6sD5OdSM0AG0RU,Bangun Orang Waras,191747,33,0rG0eNyqByRIBkrvEL3DKh,False
6LwpW2WMxPqICW1dBXsV7a,How Much Do You Love Me,226865,17,5esuY8C9LUggVuV7XQ24Ky,False
1lZhA2mfllNyIEecBY7t64,Wajah Yang Membawa Aku Pulang,194298,32,12Vta9LZSos7wF8yRxVaN3,False
0VzdxbJLViTxkYwq3mTY77,Ku Cemburu,225152,9,48yswO4zq9gWwOOStJdhVg,False
19o46cP5j1F2Fh9IV18c55,Terbaik Untuk Semua,241162,5,5jJlPb5FV1Sikgzdd42Qdd,False
6UPIYWXWEpf1D1adddKJPt,Tak Lagi Berarti,254937,14,6foteK8CV26hHsEivsIFPs,False
2KZTGCaAt2iq6hqITqmx9r,Luka Yang Luas,260437,43,17ogIXTTf66hZH9vwQyvwE,False
2YOyKzbXlnzfksNUmlbTT2,Don't Be,230506,13,380sI87fu4TvIFAzZqc9Ty,False
1bF0tUYLwifw6WNXcQY6cb,Lepaskan,178800,39,0sAjRfNbWnJCTS59g8q6hC,False
7y21QqPqDf03RDacIB9wp3,Electric Pleasure,226443,16,7yTQOmoBGXQngdnoovGOgF,False
3jarq6fIQDsNoVEC2EUDmb,Awal,205000,39,5EKpCvUTLEgbg6ObcOrNCI,False
4lXDNh3lnn7SINyf0RhFJG,Pemimpi,203462,6,7Aka3T0OU7wCZzgrUtKUYH,False
5J4N5tKo5rLQybyyNeOeiq,Cintaku,252231,4,5jJlPb5FV1Sikgzdd42Qdd,False
25ZPsqgR8RfXiaUVP6phfH,Take Me Out,189836,28,2rtYNVVKESAd6byQ8SnxRZ,True
14wVwUISeu7Oqrf1ANdAQ2,JARAK DAN WAKTU,240000,25,2JzeY85q8wFjex74N4sSNP,False
1IpvSn0319TLBjqh4XNH6R,Pembalasan,207264,4,7GBjUgRDxjfUJDHgRnUBrl,False
17XDgWOKopKPvMOW0hWzp0,Synthetic Flower,165546,20,4udr5Fw2wsppo6vjWBsRG5,False
1AvosMyCUKI5BblryrnhRB,Hampa,260125,15,7eYLWtzyu2fLLOkdvKY9SQ,False
30sXgUvHtS9D2uVECgzztJ,Echo Chamber,216982,17,7iK19Zyzbun76lhc2DaxgU,False
4ZSkQY9cJBXPSWB4lEtBpM,Rule The World,201090,17,3d0hZvdOh7FRdgpSwsVJQp,False
0YJ5ZX8f83IbgsEUeHM0We,Kita Yang Bisa,246000,4,0N5mXwuiDLDBOVUZI0MrNP,False
1j4uSqAZ30i1G5FJWAOflq,Terima Kasih Orang Baik,262317,5,21iQfmTvvKRlCuDCE3pqb0,False
6jFZCTZDTbF24QR74kcuXx,Pixels And Pain,178656,13,3d0hZvdOh7FRdgpSwsVJQp,False
3gds93eR9vE5YlbLNQ99yl,Resah,204500,6,15Ar2DWKLdSm4iyyhXli9q,False
3I4mVnT3eD1GkWtfopCPEa,Limerence,219000,32,01w1dx6iPZ1e1Xhx4mr9zy,True
0FgtMH57PFYW8DwJVeOO9u,NPC,204695,14,3d0hZvdOh7FRdgpSwsVJQp,False
6YF5BNUUZLFMs2Z96jvovv,Orang Biasa,214379,50,6iouAGOCicSo8yUPxzyUeR,True
7JleWa3Nfx7i2dJxTHEJoP,Ku Bukan Milikmu Lagi,224571,22,2Tx1oHjBd6EOipDxmQKpHf,False
6zQ2ORQ2qXeWcNeBKvoLXZ,CHEESECAKE,270857,3,11Uv1fpFBvn9fHqhBrDAJr,False
4yvGKUIIro01rpX75buvjq,Yes Yes Semua Baik,184879,6,0wnQiEpSGznjd6HfJFbcBr,False
52Zl51Jef7To1ltKpGrV9F,Tawakal,313427,6,6Cjfh4nhTKsbsJP0bFCgqI,False
5T9xVlxb7MVySBTLl5mjwl,Apa Bisa,226218,26,2ciuBN5ZorQoo1oIi73dwL,False
201P7FwqiiziXBOVOOS9or,NICE TRY,150404,18,11Uv1fpFBvn9fHqhBrDAJr,False
3Wdb1xCjOXKJvd4QAkD9zJ,Mesin waktu cinta,265999,5,7rc4lwJNj6NplACsfjR0t6,False
5Xlv1dS2yPh3Wl1OvyVDea,Sebuah Keyakinan,247538,6,21UBSke16TIBrUqqj3buqG,False
7Gl49OtAjcgjF1Zg0IEJzc,CONVO pt.1,283126,4,11Uv1fpFBvn9fHqhBrDAJr,False
6W4zmyXBzPzChULilUoPwA,Berakhir Dalam Diam,159199,6,3ck4zrwtAxJMSWJKkSlTWK,False
2dYwKmmHEBgJeTw6o3pzyC,Cerita Jakarta,233249,7,2dOk8G8Bnu5LIrEoYcDwg3,False
62tfH7FFVSWaRgQMlgJXTB,Cahaya Hati,213319,5,10ACT0d75wHgbzLVgzbPB3,False
2ogeJ1Ml7yeZFuk2zQvUYc,Dalam Langkah Yang Sama,177479,6,3N2tPblvtXcj9RqOzDMBWo,False
5JUHlJXGn96HzAOi0koy41,Bungah,306461,8,7k5wFMzHW0E3o0cNxefyBV,False
732AruWokg3cphCPZXZrAd,Hatimu jauh Hatiku luka di sana,156919,5,3YGf2qiHGwMsjrvxK8bKov,False
2Yyw9UkdEeb3gaq1sG1Cmn,Jalan Menuju Kamu,210359,7,3q8dbYb00ABBrSymcpLtFA,False
2g40frcmzA7iZ4BFDXPOJD,Rasa Biru,279679,4,5kDb8M6NQKq4fvaLlTdjFl,False
0WwygL3t8Wrx7plraxQBR0,Secepat Ini,260002,7,2eDe1LmDrYIazHGDWJBYwy,False
6t02WD2iH5Pghfyri1JpWd,Bangkit kembali,159879,6,7L0K38nmeEwTco8mxKsxNV,False
220TV2HqrIbelYxDH7F4hB,"Jauh di Hati, Dekat di Luka",198599,5,47S03IDBWoAmnb3C74yijY,False
6Ag5gGtwa54zOgBIwBgZVM,Tak Pernah Salah - Duet Version,265814,7,6AKl5hQqfWBT5wWaDtiMom,True
6TtteuHgU2MECZBI3plEdH,Bersamamu,236250,11,5cjQ3QywLDMVsAeu8vc7wg,False
2Bx7N9huvzXDCeNQcmD8IV,sosok sempurna,216000,17,2fM3zNSbkIqNGNj9J68aDr,False
77aHgpgk3YktDAcN8PuCFG,Bagiku Kaulah Segalanya,283820,10,2OGVmeTFCsBtoDtgOLxeou,True
1RaJdXCj61oSRUUciGKoWe,bergema sampai selamanya,198567,80,0kHOWC0D1GUQmvIz2nK1Mc,False
3jCNIZYSZ5yXxBQ8nM0jA7,Mengapa Kau Pergi,270964,9,5cjQ3QywLDMVsAeu8vc7wg,False
2Ezo7HaSYNzvXxFJRyCUPF,Kisah Tanpa Arah,224080,5,49Q2xCamqKCS2eYnatQhA8,False
4gOpkm1bluwgKu3qg0QuRp,Mengalah,261492,9,5cjQ3QywLDMVsAeu8vc7wg,False
7H0gR28EFNVktabvD1eIHt,Turun Dari Langit,195246,6,6AKl5hQqfWBT5wWaDtiMom,False
6qgtmk1dYotNuC8xGkVk6G,Tengadah,230000,29,2LRsesnoH0uWlkyscSXQ62,False
7255jbUi0rkGZWiWQUcd5S,Waktu dan Melodi,234123,13,43HfwujaIJCzdBH82pFTrg,False
4WJVWsGAkydBdPlqARaXJd,Bermimpi,264395,4,3N7nbnm2rzn9ymUAVcbUPu,False
5Etj8lXoKwRVOiqSXcFagE,Satukan Dengan Cinta,253805,4,4IyUAv4jWMSFbnlClbQOWS,True
7EJn4U6IySwLSfLZX07muY,Ngapain Repot,254401,78,0hEt3PH6b53bkKUcjG09Ee,True
1CPZ5BxNNd0n0nF4Orb9JS,Golden,194607,100,14JkAa6IiFaOh5s0nMyMU9,True
3aJrtG5w8rUEvHroMizz1l,Dance with Me,236225,4,7wtv00kU9rNuFZ6uB8jIz0,True
5rcPFF1YNc5HtwdLJz3ObQ,CHANGE ORCHESTRA - Remastered 2025,308736,5,6bC8xz6QLhf6I69CGzjBUC,False
4xMDmkxaVCLAEoeyo6gwGB,Melamun - Alternate,208715,4,66rw60NrIZyYSw2IbfZWDx,False
4XHijJfABTtUCW3Bp6KFvr,Tarot,288981,84,0y9i2KHDYh2gKfbpUNiM86,False
278PwGlIm7MxVTZud18Rx4,mejikuhibiniu,196477,82,1DZHkeHPjLkuclwTVtjIOK,True
6mYhcBROW9TWGcaur1zmOG,Biasa Saja,236560,6,1HjNwurDv4fn7sCLAhVpaT,False
5EWyweCJ5igLl6bjbGRmGm,Calon Mantu Idaman (feat. Ncum),189230,81,4n4ZdQUXAs9BevRhBHtGdr,True
43dBaTfvA9Xltgkr5E2VBI,Rooftop,242000,21,2Xpll4oG2UqKeDuNJshrDU,False
2RRok6hRdQnkHbsWoLqstD,"Jangan Tanya, Tunggu Saja",176964,5,0YMusz6pxMr1gxVEs5kKYC,False
1zu5ZpnrSArdoaT6Qq3yo9,Monolog,207216,84,6CYiVTU1drHMvGHgMHmLQZ,False
31CsSZ9KlQmEu0JvWSkM3j,Deslocado,179996,80,70Bn4uvWtXrBKlbttB822R,False
2QWin1zM9hxG9zsApuIvso,Young Black & Rich,155040,78,4So2lxknlUUwSVMaPuU1XV,False
02sy7FAs8dkDNYsHp4Ul3f,Soda Pop,150686,96,14JkAa6IiFaOh5s0nMyMU9,True
7yHRmaBkHKXKJmS1xMzicZ,Punkrocker (feat. Iggy Pop) - As featured in Superman,246786,76,4MHVx1PFPrYUzO0zbh95Q0,True
5H1sKFMzDeMtXwND3V6hRY,JUMP,164718,94,3hzoZlx2KwtvJEUl9piPWr,False
49XXrWxrmBU34mNMpxsSfG,Pancarona,261379,69,5dy5oRsWeCss5AvbWcJqr0,False
5DxDLsW6PsLz5gkwC7Mk5S,Free,187963,94,14JkAa6IiFaOh5s0nMyMU9,True
7rcbwjIaZ5jEgyFk35Bqfj,DAISIES,176453,78,6ZXIXOT3F3ixjH66eqJl0S,False
5rhwXZP0luMucnEPnYJpbI,Kasih Aba Aba,176608,82,7epsFufhjXWBTRp8i4IkmM,True
6vPs2QpyHKvYJ9Bq7CQaUu,Menunggumu Sampai Akhir Hidup,251298,61,2GtB6vMtpUwsQ2yqiandyJ,False
1I37Zz2g3hk9eWxaNkj031,Your Idol,191537,96,14JkAa6IiFaOh5s0nMyMU9,True
2InRcPbunlEjQ6sGyGIjxV,Kusuma Wijaya,265486,60,1tOARzkD1moNEKrqve9Kjn,False
6cebiKUXkoLYlaxzDfEPtS,Gaze,309293,57,2nftdSlqgiJ2lN8hu3dCEr,False
4gngdFoZ9jGJcHAlbjWmIZ,Looking for Love in Wrong Places,245421,51,1KN2KKeuWwdkimahJ0lmFp,False
1D35BJlymlh6OLD75WupSF,"Saiyaara (From ""Saiyaara"")",370875,89,3ETAyPs1TjEcYIpCbYwEbk,True
7ih7pYSRZgWCTXuOmrnXjX,Dame Un Grrr,133220,79,1QJWpxXcEr1AH3BLeI0s65,True
40UVUuyy5RfpO0awclCttA,FAMOUS,180353,78,7rgnZ9iX2S9HFHmkFmSwW7,False
0FTmksd2dxiE5e3rWyJXs6,back to friends,199032,96,0QLILSOq1IqAqx62drmv4E,False
56DxR1jHbX6xlGwZdUuN0v,Reason To Stay,198813,70,7ooSA4xT6dVvDN8j8AeaH0,False
6wOYPDDG3gYhZCy4SNCFuF,We Always Together,251605,49,2CpRKQIcqQkb7fspvfYbOm,True
4e6TmHCC4PRUj75knNplNP,Mangu,261048,80,6XVW3zoK1nmskW7drvHy9h,True
2NOMOpss7BmEXTL9f1koqn,WICKED,157191,74,7rgnZ9iX2S9HFHmkFmSwW7,False
3AkWSyWgDGpoN39DvLp0YA,Forbidden Fruit,225017,65,6GClbRFIZef2HEsqxkYFee,True
6BQiGGlPp294KMLYQMmS0C,You'll Find Lovers Like You and Me,209536,57,7Fqm1j72ZIaBOazURTNRAj,False
5sBDrrtLGbV64QJnEqfjer,What It Sounds Like,250268,94,14JkAa6IiFaOh5s0nMyMU9,True
66bAuBggOmZ4YDgqlWk8Fo,Sebatas Mimpi,218240,66,7i0hFkyqprLGxZu5uVGEnY,True
19KgCUi8VGTNnmT4kAUqaa,Aku Bisa,330981,61,7mnmJlDa4dyt7L7SQw7zXX,True
3RXUgPNIbUgFxsDWuBQEt6,How It’s Done,176059,95,14JkAa6IiFaOh5s0nMyMU9,True
3598iBWrS4JhJqP5tHlpVK,THIS IS FOR,131097,83,02dUOPB3MtmV5fawzaZiq6,False
5upAkHGjeDlEQLP20QmKM6,Hari Yang Mantap,230438,53,2CpRKQIcqQkb7fspvfYbOm,True
0MHStU0muAIEMbwdnebYu2,Takedown,182016,94,14JkAa6IiFaOh5s0nMyMU9,True
1lpXnyjEKDzExVyVS1AT1Q,shoot,214300,64,7C3cWsNbYPO76a5qIq8fPM,False
4HZ4tasa7sislo5BbOOBfm,Pikiran Yang Matang,192666,64,2gdKHKZfqOqGCwJiyEe2K8,False
1xOqGUkyxGQRdCvGpvWKmL,Gabriela,197226,92,6rpin9IVOuBEWBYnrA9hft,False
7o3xJRQhpHRZ6IbyQX2xrp,we never dated,196931,82,6qnPn5mO9HnoxRKv3zhaez,False
1ImRS2KtSaDZcj9vQTxwFA,Dirty Work,180250,74,1oJztb2MfwieRwHZ1t4NrN,False
4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),285634,81,2fenSS68JI1h4Fo296JfGr,True
1WYR1Amb1BSBFJ3YvxLvqS,Mengunci Ingatan,270978,58,6SQaLfIqG305mqG6zY3FMM,False
1WmBVbFmLt0w6zPP37TeCG,Illegal,149666,85,3o81FH5FTYVtoBQOZr3T7y,False
4UucLisbPzUcqYCE6cQX2z,Forget Jakarta,401520,57,2nftdSlqgiJ2lN8hu3dCEr,False
1ylY6UrF7cmOZ9GDOxrfk8,Bila Kau Tak Disampingku,256173,80,4bPUtZdWsvU1eTPmJFuvwm,False
1FVr8J6OKHx4WddMm4CFtY,’Bout You,188026,60,2sOb21DLBATC7czm21LQoM,False
1rKQjUhF9zFJmuUotr3VkV,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",181192,89,14JkAa6IiFaOh5s0nMyMU9,False
2OxvanM5m1Na9OVlXyXmUp,Lesung Pipi,225153,82,5HKEezqSNuJSD5Nbrs9bhG,False
1lbNgoJ5iMrMluCyhI4OQP,Victory Lap,165857,84,1wD2xMSjGRFSVX8zkFEuMo,True
5EoV2HmAlkqN1XvsIjOBZZ,STYLE,209671,78,2bCF7O4JPKcxtlOw7AtphB,False
0peDS2F3fH9U5YKSF9SZmm,Pendampingmu #TahtaHatiku,244666,71,5XvTmKurqOPaImImbDBDFv,False
0taGkMseEIkIZ3noyFFfZA,Tetap Bukan Kamu (feat. Rony Parulian),256156,67,4SVd1APxtjPLbghqMzqmBq,True
1wfbqUSPWbnPjkiBA9UmoF,Kita Usahakan Lagi,233916,79,0gOmfHG7fEF7dq72Q7jl9q,False
1UPB5rYJ0bzn6mNSoAHrZC,You'll Be in My Heart,241776,87,7GZpa8xckIRPFIbT49B4zZ,False
1HoRAFcgEZSUJesK23aRnZ,superstitious,187235,57,1WevIdYWogV9E4pZcXdoel,False
0Gm4kBHqEQjRfZdxyQE34L,Jadi Tuan Putri,243333,57,707IGnRDU5iD3sNGnz6DXU,False
0VpEX8ib3wE7u8NOw4szU6,Eyes Off You,204266,69,2eiprRNqzj5s3IPLvKsF6z,False
0B0tYbVp7pDQAqKDhgMeaL,Too Good to Say Goodbye,281826,74,4PgleR09JVnm3zY1fW3XBA,False
1djEfgcgzTqLuCAB8Mau8K,Path,223426,38,5pLvtNN7EUW35oaBinPniJ,False
42elvNonmDWGnpyxBpd9Mu,Malapetaka,227834,67,5XFwxKmkc0RmrncnPKnejB,False
5WOSNVChcadlsCRiqXE45K,everything u are,236489,82,6HiRRMXgflIyrpjCiPW8rU,False
06WUx317ZgnzlEfiWPvcFm,Percuma,247265,63,1enR50jqoFl1yz75axX2sF,True
0I3I9hgBRat6HR5Gzy26jx,33x,434759,70,2ZI3XeIrCM1PsOtK3rlMth,False
29oaLVw5BEusRDauIyCfwK,Minggu,218625,53,20BlkwZZJfzNj6xTxPrehi,True
0y3PdaJSMjd5cgA3BVfLut,Mati Satu Tak Tumbuh Lagi,279329,51,3c1TKSbv7UARypYZsORhuD,False
2VIG7a12qlUHDmk8ojk7q7,Awal Kisah Selamanya (feat. Barsena Bestandhi),290262,60,4SVd1APxtjPLbghqMzqmBq,True
3nXKcMbdCmMYp1Lg8p13aJ,Luapkanlah,205723,57,4t1d7lp7cX2v1HnqhlPuXd,False
7rpUsVjQyitDQ27NRybgZl,Whatever - Remastered,382266,63,50xG9YujTzMGaLHfJTskBy,False
35640moOz2cwikJTFhosxk,Stecu Stecu,223750,76,6GlXRjLBMT6zTlNIqka1h7,False
